rera_certificate_no,builder_name,complaint_count,cases_count,possession_delay_months
P51700005908,JOSHI ENTERPRISES,0,0,49
P51700001820,KBP CORPORATION,0,0,24
P51700000745,NAVNIRMAN DEVELOPERS,0,0,0
P51700001729,Sheth Developers Private Limited,9,0,42
P51700006800,Royce Developers,2,0,54
P51700000149,SHREE SAI BUILDERS & DEVELOPERS,0,0,0
P51700001003,Vastu Rachana JV,0,0,12
P51700000166,SHREE SAI BUILDERS & DEVELOPERS,0,0,0
P51700000235,SHREE SAI BUILDERS & DEVELOPERS,0,0,0
P51700000216,GYANDEV BUILDERS & DEVELOPERS,0,0,0
P51700000865,PARAM BUILDERS AND DEVELOPERS,0,0,12
P51700001090,Vastu Rachana JV,0,0,12
P51700001875,ANIL SHILPAYATAN PRIVATE LIMITED,0,0,0
P51700000193,ROMA BUILDERS PRIVATE LIMITED,0,2,36
P51700002433,Aditya Associates,0,0,24
P51700004847,Marvel Buildcons,0,0,60
P51700002132,S M ASSOCIATES,1,0,72
P51700002138,S M ASSOCIATES,0,0,72
P51700002586,Bhalchandra  Wadnerkar,0,0,2
P51700002509,S M ASSOCIATES,0,0,72
P51700000874,PRIDE INFRASTRUCTURE,0,0,9
P51700002522,Bhalchandra  Wadnerkar,0,0,0
P51700004428,BHUMIKA DEVELOPERS,0,0,6
P51700000584,Kalpataru Properties (Thane) Pvt. Ltd.,2,2,36
P51700000295,ARDENT PROPERTIES PRIVATE LIMITED,8,0,18
P51700000197,ROMA BUILDERS PRIVATE LIMITED,0,6,12
P51700000413,ROMA BUILDERS PRIVATE LIMITED,0,4,12
P51700002966,ANANTNATH DEVELOPERS,1,0,21
P51700000540,Palava Dwellers Private Limited,1,3,6
P51700000596,Palava Dwellers Private Limited,1,0,6
P51700000506,Palava Dwellers Private Limited,2,1,12
P51700000577,Palava Dwellers Private Limited,0,1,12
P51700000696,Palava Dwellers Private Limited,1,0,12
P51700000419,Palava Dwellers Private Limited,3,5,4
P51700000546,Macrotech Developers Limited,4,0,6
P51800001460,SNEH MAKEWELL LLP,0,2,36
P51700002661,A PLUS REALTY,0,1,52
P51700003864,BHAGWATI DEVELOPERS,0,0,12
P51700001799,Kashish Park Realtors,0,4,33
P51700000308,TATA HOUSING DEVELOPMENT COMPANY LIMITED,3,7,27
P51700009882,VIJAY ASSOCIATES (WADHWA),3,9,60
P51700006610,VIJAY ASSOCIATES (WADHWA),2,7,12
P51700008189,VIJAY ASSOCIATES (WADHWA),2,7,36
P51700010204,VIJAY ASSOCIATES (WADHWA),1,7,45
P51700000365,Hubtown Limited,0,4,66
P51700000837,SAPTASHREE REALITY PRIVATE LIMITED,2,0,7
P51700003306,SHREE VASTURACHANA DEVELOPERS,1,0,31
P51700003336,AADI DEVELOPERS,1,0,88
P51700003326,AJIT KRISHNAN RATNAM,0,0,12
P51700000369,Hubtown Limited,2,3,103
P51700000358,Hubtown Limited,0,8,97
P51700011113,KALPAVRUKSHA DEVELOPERS,0,0,13
P51700002499,WADHWA BUILDCON LLP,4,1,72
P51700000686,MARATHON ENER-GEN,0,1,24
P51700000952,MARATHON ENER-GEN,3,1,54
P51700001265,MARATHON ENER-GEN,0,1,36
P51700002720,Saarvi Infratech,0,0,0
P51700007690,THALIA INVESTMENT PRIVATE LIMITED,1,1,24
P51700000315,ROMA BUILDERS PRIVATE LIMITED,0,2,12
P51700000304,ROMA BUILDERS PRIVATE LIMITED,0,8,12
P51700006864,THALIA AKSHAR DEVELOPERS,0,0,0
P51700000601,SHARVARI REALTORS LLP,0,0,22
P51700003857,PADMADISHA PARADISE,0,0,46
P51700005797,SHREE SHIVAM DEVELOPERS,0,0,42
P51700000552,Neelkanth Mansions and Infrastructure Pvt. Ltd.,0,1,39
P51700001021,Kapstone Constructions Private Limited,6,6,27
P51700001060,Kapstone Constructions Private Limited,4,7,27
P51700001321,ABHIJEET REALTY,0,0,0
P51700004458,Hubtown Limited,0,3,80
P51700006830,Shiv Builders and Developers,0,0,5
P51700002244,MOHAN LIFESPACES LLP,0,0,24
P51700000366,Panvelkar Infrastructures Private Limited,0,0,12
P51700003652,ROYALE URBANSPACE LLP,0,0,12
P51700013833,ROYALE URBANSPACE LLP,0,0,0
P51700001453,Kapstone Constructions Private Limited,0,6,5
P51700000950,Kapstone Constructions Private Limited,1,6,9
P51700001093,Kapstone Constructions Private Limited,1,8,6
P51700001752,SHREE LAXMI ENTERPRISES,0,0,24
P51700001516,Kapstone Constructions Private Limited,2,9,24
P51700013649,Kapstone Constructions Private Limited,0,4,0
P51700002816,SHREE SWAMI SAMARTH ASSOCIATES,0,0,0
P51700000652,MATRIX ENCLAVES PROJECTS DEV. PVT. LTD,0,0,24
P51700000507,MATRIX ENCLAVES PROJECTS DEV. PVT. LTD,0,0,24
P51700000478,MATRIX ENCLAVES PROJECTS DEV. PVT. LTD,0,0,24
P51700000470,MATRIX ENCLAVES PROJECTS DEV. PVT. LTD,0,0,12
P51700000456,GURUKRUPA ENTERPRISES,0,0,23
P51700008260,DINSHA BUILDERS AND DEVELOPERS PRIVATE LIMITED,0,0,0
P51700003821,S D BHALERAO ASSOCIATES,10,3,72
P51700001566,Paradise Leisure Homes,0,0,0
P51700002581,M/s Ekdant Housing,0,0,0
P51700002078,PUSHPAK ENTERPRISES,0,0,45
P51700004561,Green Environment Constructions,0,0,12
P51700005375,BHAVNA C CHHEDA,0,0,41
P51700002579,SHREE MANGALMURTI ENTERPRISES,0,0,36
P51700001178,GeeCee Ventures Limited,0,0,0
P51700000943,SHREE SATYAM GROUP,1,0,60
P51700000602,Hubtown Limited,5,4,94
P51700002749,Pravin Kashinath Haware,0,0,12
P51700000464,Suresh Kashinath Haware,0,0,6
P51700002762,GAURANG PROPERTIES PVT. LTD.,0,0,24
P51700002627,S. D. Bhalerao Associates,15,0,60
P51700000844,Suresh Kashinath Haware,0,0,12
P51700002559,SHIVAM UNIVERSAL,0,0,0
P51700005679,Riddhi Siddhi Enterprises,0,0,3
P51700008143,SQUAREFEET INFRASTRUCTURE LLP,0,1,36
P51700001183,Bharat Agri Fert & Realty Limited,0,1,12
P51700008389,SHREE SUMATINATH ENTERPRISES LLP,0,1,12
P51700001930,Jayshree Builders,0,0,12
P51700000528,HORIZON PROJECTS PVT LTD,22,0,36
P51700002614,Abhilasha Venture,0,1,21
P51700002071,KUNDAN EKNATH MHATRE,0,0,24
P51700002512,ASHWAMEDH CONSTRUCTION,0,2,5
P51700000725,OM SAI LAND DEVELOPERS,0,0,15
P51700005590,MILAN HOUSING COMPLEX PVT. LTD.,0,0,0
P51700005077,Ashok Kumar Narayanlal Sahlot,0,0,17
P51700000778,Acme Housing India Private Limited,7,6,36
P51700001100,PANORAMA REALTY,0,0,48
P51700000445,SHANKHESHWAR KREATERS,0,0,0
P51700003704,SAMARTH DEVELOPERS,0,0,30
P51700000431,Vijay Ramchandra Panvelkar,0,0,0
P51700000450,SAI SHRUSHTI ENTERPRISES,0,0,0
P51700011204,Amol Padmakar Tarmale,0,0,6
P51700006127,ANIL HARDASMAL THARWANI,0,2,7
P51700006728,ANIL HARDASMAL THARWANI,0,2,12
P51700007834,ANIL HARDASMAL THARWANI,0,2,6
P51700003380,Panika Infrastructures Pvt. Ltd.,1,0,24
P51700000847,HIRANANDANI PROPERTIES PRIVATE LIMITED,0,2,0
